approach,run,ndcg@1_mean,ndcg@1_std,ndcg@3_mean,ndcg@3_std,ndcg@5_mean,ndcg@5_std,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std,map_mean,map_std,auc,precision,recall,f1,params,train_time,category,inference_ms
Logistic Regression,1,0.7941258008616179,0.35609007601918197,0.8855858347180059,0.16838534441269482,0.9082988446009305,0.13648069592002532,0.9173701789337573,0.13370646498599423,0.8722222222222221,0.26764865489879786,0.8437301587301587,0.25619750372271044,0.7884116993706035,0.7818181818181819,0.589041095890411,0.671875,7,0.0009109973907470703,Simple Baseline,
KAN,1,0.733490430266793,0.37215239678021134,0.8545973890819558,0.17167239336339293,0.8906663557084855,0.12836996526731506,0.9035138546337954,0.12178600774754336,0.85,0.26299556396765833,0.8243571428571428,0.26049465703412705,0.7797112180673825,0.7457627118644068,0.6027397260273972,0.6666666666666666,560,0.11124205589294434,Learned Reranker,0.18619775772094727
XNet,1,0.7231035862159158,0.35547519468301136,0.8455116071580139,0.18738360830511716,0.8900701030410386,0.1386961128658417,0.9045466768934147,0.12571005922536307,0.8555555555555555,0.27464904654018385,0.846579365079365,0.26918972878307323,0.7228804146612365,0.639344262295082,0.5342465753424658,0.582089552238806,177,0.03174400329589844,Learned Reranker,0.024907588958740234
MLP,1,0.7540478724351398,0.3654600215604717,0.8607147123673606,0.1733218723680931,0.8948915816744052,0.1353283162247219,0.9052715545164804,0.1330757836199878,0.8388888888888888,0.28048679025254086,0.8154285714285714,0.2672518275832793,0.759163272861903,0.704225352112676,0.684931506849315,0.6944444444444444,257,0.03374814987182617,Learned Reranker,0.023589134216308594
BM25 (baseline),2,0.7303572770995512,0.37439168749740603,0.8455719547089344,0.21565209906442792,0.88467054445787,0.1561722443662757,0.8940017767998393,0.15047094801959393,0.8020833333333333,0.3067173305069887,0.7971899801587301,0.2963022900806249,0.7100694444444444,0.6640625,0.7158730158730159,0.6169935966810967,0,0.0,Retrieval Baseline,
Semantic (baseline),2,0.720718769669767,0.3772727767360303,0.8406117188355975,0.21824250118026814,0.8882585059258996,0.14615135531563112,0.8963932959090025,0.13665017342378674,0.8046875,0.30234139480133493,0.8095989873222016,0.28075704311323374,0.7147321428571429,0.5767857142857142,0.8191468253968255,0.6347689075630252,0,0.0,Retrieval Baseline,
RRF (baseline),2,0.7382201350666024,0.35309349150253017,0.8497444367372744,0.20856236735505315,0.8884262342083937,0.13887027478245645,0.9011567464012049,0.13291144493200333,0.8229166666666666,0.29664647637287794,0.8086483134920635,0.2866374371268423,0.7161458333333333,0.0,0.0,0.0,0,0.0,Retrieval Baseline,
Logistic Regression,2,0.7724434328157617,0.3502565586649306,0.8731095088667851,0.20274064253203633,0.9083787182296756,0.13855271978308287,0.913785332637689,0.1353817715103404,0.8385416666666666,0.2923633791809622,0.8362872023809523,0.2807818405133624,0.7064307458143075,0.7,0.4861111111111111,0.5737704918032787,7,0.0010190010070800781,Simple Baseline,
KAN,2,0.8179057009989207,0.3229748405386122,0.8851044392322539,0.1655925221072131,0.9143508169475935,0.11712181117941432,0.922113528871981,0.11601740019563218,0.8619791666666666,0.2737101814965258,0.8268240189594356,0.25866792727105625,0.7423896499238966,0.7058823529411765,0.6666666666666666,0.6857142857142857,560,0.10955500602722168,Learned Reranker,0.19016027450561523
XNet,2,0.7280389106060129,0.3675177234510152,0.8665597987270448,0.14544271770435835,0.8900194996190984,0.13144167144689925,0.8991990863347396,0.1316141829451574,0.828125,0.28712044692370253,0.8099922052154195,0.27547198095117115,0.7391552511415526,0.6842105263157895,0.5416666666666666,0.6046511627906976,177,0.032067060470581055,Learned Reranker,0.02460002899169922
MLP,2,0.7518410220385034,0.3571067192801104,0.8579311531169305,0.20167599534119632,0.8914052908581253,0.13952758498592852,0.9027686784995642,0.1357815287217799,0.8229166666666666,0.29664647637287794,0.8136044436714079,0.2792006177350033,0.7216514459665145,0.6727272727272727,0.5138888888888888,0.5826771653543307,257,0.03309321403503418,Learned Reranker,0.02330780029296875
BM25 (baseline),3,0.7473398137021676,0.3958050346784256,0.8369228869716102,0.25193328981822444,0.866287340710167,0.22319475740225053,0.8714670066749824,0.22339777868381278,0.8413978494623655,0.30989855455816345,0.8030133128520225,0.3036764828540726,0.6740143369175627,0.6451612903225806,0.6451612903225805,0.5928920541823767,0,0.0,Retrieval Baseline,
Semantic (baseline),3,0.7329529609883907,0.39798209330646417,0.853337906809345,0.2468111306218024,0.873151216895002,0.2152784779749156,0.8787922235855288,0.21010803435209358,0.836021505376344,0.31713595035418624,0.8379605967509193,0.30360260016578916,0.7204301075268816,0.5612903225806453,0.7741935483870968,0.6207373271889401,0,0.0,Retrieval Baseline,
RRF (baseline),3,0.7238295606421153,0.40026304478481506,0.8639443537092405,0.21147723313866493,0.8684137470691277,0.21319825397232534,0.8782608658520942,0.21051987079066187,0.8387096774193549,0.29476882068543653,0.8210303495787368,0.29493746870024873,0.7206093189964158,0.0,0.0,0.0,0,0.0,Retrieval Baseline,
Logistic Regression,3,0.7363099425565924,0.39091391506839646,0.8593995923283225,0.21130355557245242,0.8756271200334154,0.20720771729304588,0.8817153808874739,0.20581611584859863,0.8333333333333333,0.3023207724625709,0.8130093562351627,0.2939026112420331,0.7416621104428649,0.6730769230769231,0.5645161290322581,0.6140350877192983,7,0.0009579658508300781,Simple Baseline,
KAN,3,0.7666924299451872,0.37159581748911,0.8547020549392739,0.24113264133419685,0.8824604679805249,0.21417668545616436,0.8931151997853596,0.2067026542097752,0.8548387096774194,0.2894251362084897,0.8467767537122376,0.28071654778214516,0.7774740295243302,0.6911764705882353,0.7580645161290323,0.7230769230769231,560,0.11267709732055664,Learned Reranker,0.18819808959960938
XNet,3,0.7037017258658581,0.4148834689821644,0.8479103101212586,0.22015709259768318,0.8638367757493626,0.21252172696669222,0.8702356032641287,0.21429805097239857,0.8225806451612904,0.2991489837256679,0.8003186240283015,0.294132069310978,0.7320940404592673,0.6935483870967742,0.6935483870967742,0.6935483870967742,177,0.030844926834106445,Learned Reranker,0.02607107162475586
MLP,3,0.701908989089692,0.4083631126720839,0.8363291219464695,0.22529457482948687,0.8591327885946666,0.21166180425035558,0.8680060505753309,0.2090098060456509,0.8172043010752688,0.3063100974891208,0.795689847786622,0.2976443246396876,0.7471295790049206,0.6923076923076923,0.5806451612903226,0.631578947368421,257,0.03312206268310547,Learned Reranker,0.02399921417236328
BM25 (baseline),4,0.7903924630210372,0.3618134413916878,0.8686154352635767,0.2105205301068387,0.908704540305574,0.14321910000425214,0.9111187669757257,0.14363783279619197,0.8390804597701149,0.29760460867528493,0.8330459770114942,0.29165010428033017,0.6316091954022989,0.6810344827586207,0.6385878489326765,0.5667214012041598,0,0.0,Retrieval Baseline,
Semantic (baseline),4,0.853878591309229,0.28866223295124227,0.8998624748990484,0.18378494989910532,0.9230501223876847,0.1245299567059879,0.9329108780575324,0.11594443217123336,0.882183908045977,0.2693802677070797,0.8582218561405753,0.264534570403275,0.6518883415435139,0.5835796387520525,0.7918908677529367,0.6186902347145755,0,0.0,Retrieval Baseline,
RRF (baseline),4,0.8244326723972835,0.3114726629705531,0.8952369837946548,0.1955930213320054,0.9293399166325913,0.11867996801766853,0.9297755326676518,0.11869578186414191,0.8793103448275862,0.2755925407438927,0.8751079763148728,0.2687437203742524,0.664655172413793,0.0,0.0,0.0,0,0.0,Retrieval Baseline,
Logistic Regression,4,0.8095626827789196,0.33659043405409567,0.8865496124072823,0.20649055858613008,0.9192845524689904,0.13612621932454258,0.9205773414925209,0.13613636521250985,0.8563218390804598,0.29188953039150506,0.842575135592377,0.2839013776080841,0.6960977532518723,0.7142857142857143,0.46511627906976744,0.5633802816901409,7,0.0011057853698730469,Simple Baseline,
KAN,4,0.7875919774799761,0.3395856024018064,0.883664760572663,0.1623735519218935,0.9083629380502537,0.12679029314855722,0.9164259194152016,0.12279427403884399,0.8678160919540229,0.27115232441575743,0.8151412790821658,0.25721275534394367,0.599329917225069,0.6808510638297872,0.37209302325581395,0.48120300751879697,560,0.11048102378845215,Learned Reranker,0.19104957580566406
XNet,4,0.7744861167507413,0.3640595224516504,0.885695107825289,0.14362857535644508,0.8989401148300517,0.1369028239426184,0.9052646046728378,0.13251601071310337,0.8275862068965517,0.29191781837242053,0.7965972177794838,0.27356590556444876,0.5914465904611746,0.6530612244897959,0.37209302325581395,0.4740740740740741,177,0.03277301788330078,Learned Reranker,0.025529861450195312
MLP,4,0.8227182992420291,0.3363207599483557,0.8756054506089214,0.2048695049662779,0.9153732133057055,0.13636613976443765,0.9178889063863622,0.13435250895170112,0.8563218390804598,0.29188953039150506,0.8270081177716645,0.28010567210764875,0.6068190776507686,0.6904761904761905,0.3372093023255814,0.453125,257,0.03374910354614258,Learned Reranker,0.02444744110107422
